pris,pris_kvm,prisant,verditakst,BOAProm,energi,boligtype,vest,dummyGrünneløkkaSagene,dummyFrogner,dummySt.Hanshaugen,dummyGamleOslo,solgt,byggeår,alder
6650000,41049,6600000,6600000,162,G,Tomannsbolig,0,0,0,0,0,2014,1957,57
6625000,26606,6525000,6525000,249,G,Enebolig,0,0,0,0,0,2014,1914,100
6600000,56091,6800000,6800000,118,G,Leilighet,0,0,1,0,0,2014,1910,104
6600000,58929,5850000,5850000,112,G,Enebolig,0,0,0,0,0,2014,1920,94
6600000,40741,6950000,7000000,162,G,Tomannsbolig,0,0,0,0,0,2014,1921,93
6600000,33846,5750000,5750000,195,F,Enebolig,0,0,0,0,0,2014,1975,39
6600000,45205,6700000,6700000,146,D,Rekkehus,0,0,0,0,0,2014,1998,16
6575000,25484,6790000,7000000,258,E,Enebolig,0,1,0,0,0,2014,1980,34
6575000,25484,6790000,7000000,258,E,Enebolig,0,0,0,0,0,2014,1980,34
6560000,37919,5490000,5700000,173,G,Enebolig,0,0,0,0,0,2014,1955,59
6550000,43377,6890000,7000000,151,B,Enebolig,0,0,0,0,0,2014,2003,11
6530000,25709,5800000,5800000,254,E,Enebolig,0,0,0,0,0,2014,1988,26
6520000,30900,5990000,6000000,211,F,Tomannsbolig,0,0,0,0,0,2014,1972,42
6515000,42032,5590000,5600000,155,F,Enebolig,0,0,0,0,0,2014,1961,53
6500000,48148,6500000,6500000,135,E,Tomannsbolig,0,0,0,0,0,2014,1926,88
6500000,46763,6500000,7300000,139,G,Tomannsbolig,0,0,0,0,0,2014,1948,66
6500000,51181,6900000,7300000,127,E,Rekkehus,0,0,0,0,0,2014,1989,25
6500000,57018,6400000,6400000,114,E,Rekkehus,0,0,0,0,0,2014,1995,19
6500000,32338,5690000,5700000,201,D,Enebolig,0,0,0,0,0,2014,2004,10
6500000,45455,5950000,6200000,143,D,Tomannsbolig,0,0,0,0,0,2014,2007,7
6460000,57679,6500000,6500000,112,G,Enebolig,0,0,0,0,0,2014,1920,94
6450000,68303,6200000,6200000,96,G,Leilighet,0,0,0,1,0,2014,1895,119
6450000,52439,6500000,6500000,123,E,Enebolig,0,0,0,0,0,2014,1994,20
6450000,36236,6600000,7000000,178,D,Enebolig,0,0,0,0,0,2014,1995,19
6450000,48134,6300000,6300000,134,D,Rekkehus,0,0,0,0,0,2014,2007,7
6450000,70109,6200000,6200000,92,C,Leilighet,0,1,0,0,0,2014,2013,1
6430000,45282,5990000,6100000,142,G,Tomannsbolig,0,0,0,0,0,2014,1925,89
6430000,36954,6500000,6500000,174,G,Rekkehus,0,0,0,0,0,2014,1969,45
6410000,27511,6050000,6050000,233,D,Enebolig,0,0,0,0,0,2014,1999,15
6400000,79030,6700000,6500000,81,C,Leilighet,0,0,0,1,0,2014,1937,77
6400000,34595,5950000,6300000,185,G,Tomannsbolig,0,0,0,0,0,2014,1957,57
6400000,32653,6190000,6700000,196,F,Rekkehus,0,0,0,0,0,2014,1974,40
6400000,37209,6500000,6500000,172,F,Tomannsbolig,0,0,0,0,0,2014,1980,34
6400000,49231,5900000,5900000,130,E,Leilighet,0,0,0,0,0,2014,1990,24
6400000,43243,5790000,5800000,148,D,Rekkehus,0,0,0,0,0,2014,2004,10
6350000,64061,6350000,6350000,102,E,Enebolig,0,0,0,1,0,2014,1901,113
6350000,53361,5950000,6250000,119,F,Leilighet,0,0,0,0,0,2014,1956,58
6350000,75595,5790000,5800000,84,G,Leilighet,0,1,0,0,0,2014,2012,2
6300000,32813,6400000,6400000,192,E,Rekkehus,0,0,0,0,0,2014,1972,42
6300000,29717,6450000,6450000,212,G,Enebolig,0,0,0,0,0,2014,1973,41
6300000,27876,5950000,5950000,226,E,Enebolig,0,0,0,0,0,2014,1987,27
6250000,43103,5890000,6000000,145,F,Tomannsbolig,0,0,0,0,0,2014,1956,58
6250000,24038,6350000,7200000,260,F,Enebolig,0,0,0,0,0,2014,1987,27
6200000,56881,5490000,5550000,109,G,Tomannsbolig,0,0,0,0,1,2014,1910,104
6200000,56881,6200000,6500000,109,G,Tomannsbolig,0,0,0,0,1,2014,1911,103
6200000,23846,6000000,6000000,260,G,Tomannsbolig,0,0,0,0,0,2014,1953,61
6200000,46970,5500000,5500000,132,D,Tomannsbolig,0,0,0,0,0,2014,1997,17
6200000,32804,6250000,6250000,189,C,Tomannsbolig,0,0,0,0,0,2014,1999,15
6200000,56881,5900000,6000000,109,C,Rekkehus,0,0,0,0,0,2014,2005,9
6150000,36607,5670000,5670000,168,F,Rekkehus,0,0,0,0,0,2014,1970,44
6125000,56193,5480000,5500000,109,D,Rekkehus,0,0,0,0,0,2014,1992,22
6100000,44203,5980000,6300000,138,F,Enebolig,0,0,0,0,0,2014,1980,34
6100000,41497,5900000,6200000,147,D,Tomannsbolig,0,0,0,0,0,2014,2002,12
6100000,36747,5900000,5900000,166,C,Enebolig,0,1,0,0,0,2014,2010,4
6100000,36747,5900000,5900000,166,C,Enebolig,0,0,0,0,0,2014,2010,4
6100000,36747,5900000,5900000,166,C,Enebolig,0,0,0,0,0,2014,2010,4
6075000,66086,5500000,5500000,93,E,Leilighet,0,0,0,0,0,2014,1994,20
6050000,60790,5490000,5650000,102,G,Leilighet,0,0,0,1,0,2014,1901,113
6050000,60790,5490000,5650000,102,G,Leilighet,0,0,0,1,0,2014,1901,113
6050000,59373,5750000,5750000,106,G,Leilighet,0,0,1,0,0,2014,1915,99
6050000,27500,7000000,7000000,220,G,Tomannsbolig,0,1,0,0,0,2014,1938,76
6050000,42014,5200000,5200000,144,E,Rekkehus,0,0,0,0,0,2014,1969,45
6050000,42606,5290000,5300000,142,G,Rekkehus,0,1,0,0,0,2014,1979,35
6050000,56542,5590000,5800000,107,D,Rekkehus,0,0,0,0,0,2014,1998,16
6020000,26756,6200000,6200000,225,C,Enebolig,0,0,0,0,0,2014,1988,26
6000000,56604,5690000,5700000,106,G,Leilighet,0,0,0,1,0,2014,1914,100
6000000,37975,4990000,5600000,158,G,Enebolig,0,0,0,0,0,2014,1924,90
6000000,43478,5050000,5050000,138,G,Tomannsbolig,0,0,0,0,0,2014,1927,87
6000000,33333,5900000,5900000,180,G,Enebolig,0,0,0,0,0,2014,1930,84
6000000,40541,5950000,6000000,148,G,Rekkehus,0,0,0,0,0,2014,1953,61
6000000,32967,5990000,6400000,182,G,Tomannsbolig,0,0,0,0,0,2014,1958,56
6000000,36364,6000000,6000000,165,G,Enebolig,0,0,0,0,0,2014,1965,49
6000000,40816,5750000,6000000,147,D,Tomannsbolig,0,0,0,0,0,2014,2002,12
5990000,31693,5990000,6900000,189,E,Enebolig,0,0,0,0,0,2014,1978,36
5950000,58333,5990000,6100000,102,F,Leilighet,0,0,0,1,0,2014,1887,127
5950000,27934,5800000,5800000,213,F,Enebolig,0,0,0,0,0,2014,1948,66
5950000,36280,5300000,5300000,164,G,Enebolig,0,1,0,0,0,2014,1972,42
5950000,36280,5300000,5300000,164,G,Enebolig,0,0,0,0,0,2014,1972,42
5950000,68391,5600000,5600000,87,C,Leilighet,0,0,0,0,0,2014,2010,4
5925000,38725,5290000,5300000,153,F,Tomannsbolig,0,0,0,0,0,2014,1960,54
5900000,57296,5590000,5800000,103,G,Leilighet,0,0,0,1,0,2014,1914,100
5900000,27830,5990000,6900000,212,G,Enebolig,0,0,0,0,0,2014,1923,91
5900000,32778,5950000,5950000,180,G,Enebolig,0,0,0,0,0,2014,1954,60
5900000,39073,5900000,5900000,151,F,Tomannsbolig,0,0,0,0,0,2014,1972,42
5900000,52679,5490000,5500000,112,G,Enebolig,0,0,0,0,0,2014,1983,31
5900000,37342,5350000,5350000,158,F,Enebolig,0,0,0,0,0,2014,1987,27
5900000,47200,5390000,5600000,125,E,Rekkehus,0,0,0,0,0,2014,1988,26
5900000,56426,5990000,6000000,105,C,Rekkehus,0,0,0,0,0,2014,2011,3
5900000,33523,5800000,6000000,176,C,Enebolig,0,0,0,0,0,2014,2012,2
5850000,46429,5500000,5500000,126,G,Tomannsbolig,0,0,0,0,0,2014,1951,63
5850000,28398,5490000,5700000,206,F,Enebolig,0,0,0,0,0,2014,1959,55
5850000,33239,5950000,6250000,176,F,Rekkehus,0,0,0,0,0,2014,1970,44
5850000,34615,5750000,5750000,169,E,Rekkehus,0,0,0,0,0,2014,1975,39
5850000,41197,5950000,5950000,142,C,Rekkehus,0,0,0,0,0,2014,2004,10
5850000,43015,5600000,5600000,136,D,Rekkehus,0,0,0,0,0,2014,2007,7
5830000,32389,4590000,4600000,180,G,Enebolig,0,0,0,0,0,2014,1964,50
5830000,35549,6000000,6000000,164,E,Enebolig,0,0,0,0,0,2014,1993,21
5800000,43714,5790000,5800000,136,F,Leilighet,0,0,1,0,0,2014,1911,103
5800000,36943,5590000,5800000,157,G,Rekkehus,0,0,0,0,0,2014,1962,52
5800000,53211,5250000,5250000,109,G,Rekkehus,0,0,0,0,0,2014,1967,47
5800000,32955,5300000,5300000,176,F,Enebolig,0,1,0,0,0,2014,1968,46
5800000,32955,5300000,5300000,176,F,Enebolig,0,0,0,0,0,2014,1968,46
5800000,36025,5490000,5700000,161,F,Enebolig,0,0,0,0,0,2014,1972,42
5800000,27230,5990000,6100000,213,E,Enebolig,0,0,0,0,0,2014,1976,38
5800000,34731,5500000,6100000,167,D,Rekkehus,0,0,0,0,0,2014,2001,13
5800000,47541,5750000,5750000,122,D,Rekkehus,0,0,0,0,0,2014,2001,13
